group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,2048,512,6,10,0.12988415718078614
single_factor,2,2048,512,7,10,0.12924927711486817
single_factor,2,2048,512,8,10,0.12958720207214355
single_factor,2,2048,512,9,10,0.13030400276184081
single_factor,2,2048,1024,0,10,0.1703219223022461
single_factor,2,2048,1024,1,10,0.17557504653930664
single_factor,2,2048,1024,2,10,0.17567743301391603
single_factor,2,2048,1024,3,10,0.17530879974365235
single_factor,2,2048,1024,4,10,0.17736703872680665
single_factor,2,2048,1024,5,10,0.1779916763305664
single_factor,2,2048,1024,6,10,0.17953792572021485
single_factor,2,2048,1024,7,10,0.18193407058715821
single_factor,2,2048,1024,8,10,0.18284543991088867
single_factor,2,2048,1024,9,10,0.1827225685119629
single_factor,2,2048,2048,0,10,0.3484364700317383
single_factor,2,2048,2048,1,10,0.35773441314697263
single_factor,2,2048,2048,2,10,0.35767295837402346
single_factor,2,2048,2048,3,10,0.35646465301513675
single_factor,2,2048,2048,4,10,0.35774463653564453
single_factor,2,2048,2048,5,10,0.3590143966674805
single_factor,2,2048,2048,6,10,0.35986431121826173
single_factor,2,2048,2048,7,10,0.3608780670166016
single_factor,2,2048,2048,8,10,0.3624140930175781
single_factor,2,2048,2048,9,10,0.3621478271484375
single_factor,2,2048,4096,0,10,0.6703001403808594
single_factor,2,2048,4096,1,10,0.7001395416259766
single_factor,2,2048,4096,2,10,0.7003238677978516
single_factor,2,2048,4096,3,10,0.6968115234375
single_factor,2,2048,4096,4,10,0.699688949584961
single_factor,2,2048,4096,5,10,0.7054233551025391
single_factor,2,2048,4096,6,10,0.7063142395019532
single_factor,2,2048,4096,7,10,0.7062118530273438
single_factor,2,2048,4096,8,10,0.7071846771240234
single_factor,2,2048,4096,9,10,0.7064575958251953
single_factor,2,4096,1,0,11,0.10221568107604981
single_factor,2,4096,1,1,11,0.12922880172729492
single_factor,2,4096,1,2,11,0.12819456100463866
single_factor,2,4096,1,3,11,0.12826623916625976
single_factor,2,4096,1,4,11,0.12828672409057618
single_factor,2,4096,1,5,11,0.12834815979003905
single_factor,2,4096,1,6,11,0.12875776290893554
single_factor,2,4096,1,7,11,0.1282969570159912
single_factor,2,4096,1,8,11,0.12860416412353515
single_factor,2,4096,1,9,11,0.12856320381164552
single_factor,2,4096,1,10,11,0.1278873634338379
single_factor,2,4096,2,0,11,0.10555392265319824
single_factor,2,4096,2,1,11,0.12781567573547364
single_factor,2,4096,2,2,11,0.12767231941223145
single_factor,2,4096,2,3,11,0.12784640312194825
single_factor,2,4096,2,4,11,0.12720128059387206
single_factor,2,4096,2,5,11,0.12717056274414062
single_factor,2,4096,2,6,11,0.127457275390625
single_factor,2,4096,2,7,11,0.12758015632629394
single_factor,2,4096,2,8,11,0.12723199844360353
single_factor,2,4096,2,9,11,0.1281433582305908
single_factor,2,4096,2,10,11,0.1276211166381836
single_factor,2,4096,4,0,11,0.10515456199645996
single_factor,2,4096,4,1,11,0.12850175857543944
single_factor,2,4096,4,2,11,0.12840959548950195
single_factor,2,4096,4,3,11,0.12867584228515624
single_factor,2,4096,4,4,11,0.12851200103759766
single_factor,2,4096,4,5,11,0.12798975944519042
single_factor,2,4096,4,6,11,0.12870656013488768
single_factor,2,4096,4,7,11,0.12808192253112793
single_factor,2,4096,4,8,11,0.1279487991333008
single_factor,2,4096,4,9,11,0.12883968353271485
single_factor,2,4096,4,10,11,0.12826623916625976
single_factor,2,4096,8,0,11,0.10564607620239258
single_factor,2,4096,8,1,11,0.1275391960144043
single_factor,2,4096,8,2,11,0.127457275390625
single_factor,2,4096,8,3,11,0.12751872062683106
single_factor,2,4096,8,4,11,0.12731391906738282
single_factor,2,4096,8,5,11,0.12798975944519042
single_factor,2,4096,8,6,11,0.12687359809875487
single_factor,2,4096,8,7,11,0.12775424003601074
single_factor,2,4096,8,8,11,0.12884991645812988
single_factor,2,4096,8,9,11,0.1282150363922119
single_factor,2,4096,8,10,11,0.12769280433654784
single_factor,2,4096,16,0,11,0.10573823928833008
single_factor,2,4096,16,1,11,0.1278771209716797
single_factor,2,4096,16,2,11,0.12801024436950684
