,patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
17397,"[[96, 48, 192, 4]]",25088,bmm,0.0413636903045699,0.0413636903045699,4.4782203622154015e-05,"[0.04131890810094774, 0.04140847250819206]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17398,"[[96, 64, 64, 4]]",25088,bmm,0.0173624386079609,0.0173624386079609,3.566499799489975e-06,"[0.01736600510776043, 0.01735887210816145]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17399,"[[96, 96, 96, 4]]",25088,bmm,0.0262958329520188,0.0262958329520188,0.0002554038423113,"[0.026040429109707476, 0.02655123679433018]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17400,"[[96, 128, 128, 4]]",25088,bmm,0.0349781122524291,0.0349781122524291,0.0002977423602715,"[0.03527585461270064, 0.034680369892157614]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17401,"[[96, 192, 48, 4]]",25088,bmm,0.0310203540953807,0.0310203540953807,2.534588566049933e-05,"[0.030995008209720253, 0.03104569998104125]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17402,"[[96, 192, 192, 4]]",25088,bmm,0.078764017692513,0.0785701579879969,0.0003679500659927,"[0.0782487930264324, 0.07853627391159534, 0.07853919686749578, 0.07856132602319121, 0.0791418319568038, 0.07872594194486737, 0.0798970100004226, 0.07862714887596667, 0.07857015798799694, 0.07847108505666256, 0.07908542896620929]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17403,"[[128, 48, 48, 4]]",25088,bmm,0.0181123521877452,0.0181123521877452,5.3822901099922354e-05,"[0.018058529286645354, 0.018166175088845195]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17404,"[[128, 64, 64, 4]]",25088,bmm,0.0234077280969359,0.0234077280969359,0.0002009905991144,"[0.02320673749782145, 0.023608718696050347]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17405,"[[128, 96, 96, 4]]",25088,bmm,0.035006043955218,0.035006043955218,0.0001061588409356,"[0.03511220279615372, 0.03489988511428237]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17406,"[[128, 128, 128, 4]]",25088,bmm,0.0463630183017812,0.0463630183017812,0.0002406434970907,"[0.046603661798872056, 0.04612237480469048]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17407,"[[2, 48, 48, 4]]",25088,bmm,0.0001791179785504,0.0001791179785504,0.0,[0.00017911797855049371],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17408,"[[2, 48, 48, 16]]",25088,bmm,0.0005283562885597,0.0005283562885597,0.0,[0.0005283562885597348],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17409,"[[2, 48, 48, 64]]",25088,bmm,0.0020556455897167,0.0020556455897167,0.0,[0.0020556455897167325],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17410,"[[2, 48, 192, 4]]",25088,bmm,0.0003315228293649,0.0003315228293649,0.0,[0.0003315228293649852],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17411,"[[2, 48, 192, 16]]",25088,bmm,0.0012615333590656,0.0012615333590656,0.0,[0.0012615333590656518],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17412,"[[2, 48, 192, 64]]",25088,bmm,0.0050082132383249,0.0050082132383249,0.0,[0.00500821323832497],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17413,"[[2, 64, 64, 4]]",25088,bmm,0.0001776419905945,0.0001776419905945,0.0,[0.00017764199059456588],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17414,"[[2, 64, 64, 16]]",25088,bmm,0.0006767211691476,0.0006767211691476,0.0,[0.0006767211691476405],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17415,"[[2, 64, 64, 64]]",25088,bmm,0.002676096279174,0.002676096279174,0.0,[0.0026760962791740894],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17416,"[[2, 96, 96, 4]]",25088,bmm,0.0002633417001925,0.0002633417001925,0.0,[0.0002633417001925409],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17417,"[[2, 96, 96, 16]]",25088,bmm,0.001022325111553,0.001022325111553,0.0,[0.001022325111553073],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17418,"[[2, 96, 96, 64]]",25088,bmm,0.0040378802991472,0.0040378802991472,0.0,[0.004037880299147218],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17419,"[[2, 96, 384, 4]]",25088,bmm,0.0006389981904067,0.0006389981904067,0.0,[0.0006389981904067099],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17420,"[[2, 96, 384, 16]]",25088,bmm,0.0024996107001788,0.0024996107001788,0.0,[0.0024996107001788916],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17421,"[[2, 96, 384, 64]]",25088,bmm,0.0096844739979133,0.0096844739979133,1.059479545801982e-05,"[0.00969506879337132, 0.009673879202455282]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17422,"[[2, 128, 128, 4]]",25088,bmm,0.0003486273600719,0.0003486273600719,0.0,[0.00034862736007198694],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17423,"[[2, 128, 128, 16]]",25088,bmm,0.0013597469497472,0.0013597469497472,0.0,[0.0013597469497472047],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17424,"[[2, 128, 128, 64]]",25088,bmm,0.0053859955514781,0.0053859955514781,8.141505531966686e-07,"[0.005385181400924921, 0.005386809702031314]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
17425,"[[2, 192, 48, 4]]",25088,bmm,0.00033084343886,0.00033084343886,0.0,[0.000330843438860029],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17426,"[[2, 192, 48, 16]]",25088,bmm,0.0012929341895505,0.0012929341895505,0.0,[0.0012929341895505785],bs_last,fp16,NVIDIA_A100-PCIE-40GB
17427,"[[2, 192, 48, 64]]",25088,bmm,0.005198348199483,0.005198348199483,0.0,[0.005198348199483008],bs_last,fp16,NVIDIA_A100-PCIE-40GB
