patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 768, 768, 32]]",25088,kernel,0.034637352,0.034637352,0.000388599,"[0.03424875326454639, 0.035025950707495215]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 48]]",25088,kernel,0.051520766,0.051404105,0.000134356,"[0.05196057818830013, 0.05198463797569275, 0.051615262404084206, 0.05139186605811119, 0.05138378217816353, 0.05139433220028877, 0.05140392854809761, 0.05139418691396713, 0.051404280588030815, 0.0514127891510725, 0.05140376463532448, 0.051499782130122185]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 64]]",25088,kernel,0.069359393,0.06908568,0.000738909,"[0.06871750578284264, 0.0692715048789978, 0.06860530003905296, 0.06851338781416416, 0.06847945041954517, 0.06846987642347813, 0.06908567994832993, 0.0736420601606369, 0.06967339664697647, 0.0691701602190733, 0.06932500191032887]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 96]]",25088,kernel,0.103765574,0.103441969,0.001265874,"[0.10269248113036156, 0.10269112698733807, 0.1026970874518156, 0.10456909239292145, 0.1082315519452095, 0.10345984064042568, 0.10397597961127758, 0.10394533723592758, 0.10344196856021881, 0.102687768638134, 0.10302907973527908]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 2]]",25088,kernel,0.00097948,0.00097948,0,[0.0009794802777469158],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 3]]",25088,kernel,0.001484354,0.001484354,0,[0.0014843541383743287],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 4]]",25088,kernel,0.001968176,0.001968176,0,[0.001968175619840622],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 6]]",25088,kernel,0.002949364,0.002949364,0,[0.0029493642784655092],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 8]]",25088,kernel,0.003951811,0.003951811,0,[0.003951810896396637],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 12]]",25088,kernel,0.005895805,0.005895805,1.27E-06,"[0.005894536711275577, 0.00589707363396883]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 16]]",25088,kernel,0.007872137,0.007872137,0,[0.007872136533260346],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 24]]",25088,kernel,0.011884295,0.011884295,1.75E-05,"[0.011866807378828526, 0.011901783011853694]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 32]]",25088,kernel,0.015786454,0.015786454,2.46E-05,"[0.015761875547468662, 0.015811033174395563]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 48]]",25088,kernel,0.025167663,0.025167663,1.82E-06,"[0.025165839307010173, 0.0251694867387414]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 256, 64]]",25088,kernel,0.034511949,0.034511949,0.000248023,"[0.034263926558196545, 0.034759972058236596]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 2]]",25088,kernel,0.003656939,0.003656939,0,[0.003656938951462507],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 3]]",25088,kernel,0.005788046,0.005788046,1.10E-05,"[0.005799035541713238, 0.005777055583894253]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 4]]",25088,kernel,0.006858953,0.006858953,3.80E-05,"[0.00689693633466959, 0.00682097040116787]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 6]]",25088,kernel,0.010277981,0.010277981,1.84E-06,"[0.01027982570230961, 0.010276136361062527]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 8]]",25088,kernel,0.013899865,0.013899865,9.47E-07,"[0.013898918405175209, 0.013900811783969402]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 12]]",25088,kernel,0.021306629,0.021306629,1.75E-06,"[0.021308379992842675, 0.021304877102375032]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 16]]",25088,kernel,0.029986091,0.029986091,0.000120228,"[0.029865863360464574, 0.03010631911456585]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 24]]",25088,kernel,0.045397657,0.045397657,0.000282306,"[0.04567996263504028, 0.04511535111814737]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 32]]",25088,kernel,0.060625712,0.060625712,0.000141874,"[0.060483838245272634, 0.060767585411667824]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 48]]",25088,kernel,0.090857615,0.090762747,0.001173615,"[0.09076274745166302, 0.08986243791878223, 0.08977214992046356, 0.08974749408662319, 0.09215093776583672, 0.09314193017780781, 0.09085898846387863, 0.09084804356098175, 0.09043514914810658, 0.09025160223245621, 0.09160228259861469]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 1024, 1024, 64]]",25088,kernel,0.109071713,0.108434749,0.00063358,"[0.10842707101255655, 0.10843650496099144, 0.108434748952277, 0.11242476594634354, 0.1104518580250442, 0.10833573201671243, 0.10840670892503113, 0.10920631804037839, 0.1088705500587821, 0.1083915870403871, 0.10840299900155514]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
