group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,2048,11,16,5,32,2,2,32,0.082623,0.097294,,
group2,2048,11,16,6,16,2,2,64,0.082774,0.097930,,
group2,2048,11,16,7,8,2,2,128,0.082644,0.097691,,
group2,2048,11,16,8,4,2,2,256,0.082691,0.098175,,
group2,2048,11,16,9,2,2,2,512,0.082806,0.096929,,
group2,2048,11,16,10,1,2,2,1024,0.082786,0.100935,,
group2,2048,11,32,0,1024,2,2,1,0.083314,0.061919,0.950330,1.086076
group2,2048,11,32,1,512,2,2,2,0.083460,0.097233,,
group2,2048,11,32,2,256,2,2,4,0.082685,0.097358,,
group2,2048,11,32,3,128,2,2,8,0.082995,0.097349,,
group2,2048,11,32,4,64,2,2,16,0.082867,0.097311,,
group2,2048,11,32,5,32,2,2,32,0.082829,0.097119,,
group2,2048,11,32,6,16,2,2,64,0.082591,0.097184,,
group2,2048,11,32,7,8,2,2,128,0.082705,0.096878,,
group2,2048,11,32,8,4,2,2,256,0.082232,0.096955,,
group2,2048,11,32,9,2,2,2,512,0.082925,0.096904,,
group2,2048,11,32,10,1,2,2,1024,0.082722,0.099866,,
group2,2048,11,64,0,1024,2,2,1,0.083034,0.062290,0.948585,1.090866
group2,2048,11,64,1,512,2,2,2,0.083014,0.097057,,
group2,2048,11,64,2,256,2,2,4,0.082675,0.097201,,
group2,2048,11,64,3,128,2,2,8,0.082514,0.097356,,
group2,2048,11,64,4,64,2,2,16,0.082493,0.097441,,
group2,2048,11,64,5,32,2,2,32,0.082308,0.096571,,
group2,2048,11,64,6,16,2,2,64,0.082218,0.097154,,
group2,2048,11,64,7,8,2,2,128,0.082665,0.096620,,
group2,2048,11,64,8,4,2,2,256,0.082469,0.097200,,
group2,2048,11,64,9,2,2,2,512,0.082573,0.096637,,
group2,2048,11,64,10,1,2,2,1024,0.082805,0.100246,,
group2,2048,11,128,0,1024,2,2,1,0.088405,0.066194,1.003574,1.195114
group2,2048,11,128,1,512,2,2,2,0.088010,0.105775,,
group2,2048,11,128,2,256,2,2,4,0.088846,0.105971,,
group2,2048,11,128,3,128,2,2,8,0.087977,0.106100,,
group2,2048,11,128,4,64,2,2,16,0.088124,0.105845,,
group2,2048,11,128,5,32,2,2,32,0.087781,0.106794,,
group2,2048,11,128,6,16,2,2,64,0.088520,0.106933,,
group2,2048,11,128,7,8,2,2,128,0.087706,0.106284,,
group2,2048,11,128,8,4,2,2,256,0.088517,0.106536,,
group2,2048,11,128,9,2,2,2,512,0.087990,0.105898,,
group2,2048,11,128,10,1,2,2,1024,0.088577,0.110265,,
group2,2048,11,256,0,1024,2,2,1,0.088411,0.065421,1.015094,1.192515
group2,2048,11,256,1,512,2,2,2,0.088318,0.106015,,
group2,2048,11,256,2,256,2,2,4,0.087924,0.106561,,
group2,2048,11,256,3,128,2,2,8,0.087986,0.105939,,
group2,2048,11,256,4,64,2,2,16,0.087815,0.106176,,
group2,2048,11,256,5,32,2,2,32,0.087781,0.106296,,
group2,2048,11,256,6,16,2,2,64,0.087998,0.106464,,
group2,2048,11,256,7,8,2,2,128,0.087673,0.106142,,
group2,2048,11,256,8,4,2,2,256,0.087721,0.106190,,
group2,2048,11,256,9,2,2,2,512,0.088025,0.106120,,
group2,2048,11,256,10,1,2,2,1024,0.088015,0.109850,,
group2,2048,11,512,0,1024,2,2,1,0.089253,0.065597,1.012944,1.192769
group2,2048,11,512,1,512,2,2,2,0.088559,0.106323,,
group2,2048,11,512,2,256,2,2,4,0.088895,0.106797,,
group2,2048,11,512,3,128,2,2,8,0.088593,0.106424,,
