group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,total_chain_triton_ms
group2,2048,11,4096,6,16,2,2,64,0.309007,
group2,2048,11,4096,7,8,2,2,128,0.309491,
group2,2048,11,4096,8,4,2,2,256,0.309012,
group2,2048,11,4096,9,2,2,2,512,0.309511,
group2,2048,11,4096,10,1,2,2,1024,0.309011,
group2,4096,12,2,0,2048,2,2,1,0.037904,0.463222
group2,4096,12,2,1,1024,2,2,2,0.037698,
group2,4096,12,2,2,512,2,2,4,0.037625,
group2,4096,12,2,3,256,2,2,8,0.037554,
group2,4096,12,2,4,128,2,2,16,0.037573,
group2,4096,12,2,5,64,2,2,32,0.037314,
group2,4096,12,2,6,32,2,2,64,0.037701,
group2,4096,12,2,7,16,2,2,128,0.037847,
group2,4096,12,2,8,8,2,2,256,0.037797,
group2,4096,12,2,9,4,2,2,512,0.037909,
group2,4096,12,2,10,2,2,2,1024,0.037561,
group2,4096,12,2,11,1,2,2,2048,0.038009,
group2,4096,12,4,0,2048,2,2,1,0.038021,0.461549
group2,4096,12,4,1,1024,2,2,2,0.037792,
group2,4096,12,4,2,512,2,2,4,0.037610,
group2,4096,12,4,3,256,2,2,8,0.037579,
group2,4096,12,4,4,128,2,2,16,0.037469,
group2,4096,12,4,5,64,2,2,32,0.037699,
group2,4096,12,4,6,32,2,2,64,0.037582,
group2,4096,12,4,7,16,2,2,128,0.037706,
group2,4096,12,4,8,8,2,2,256,0.037443,
group2,4096,12,4,9,4,2,2,512,0.037469,
group2,4096,12,4,10,2,2,2,1024,0.037641,
group2,4096,12,4,11,1,2,2,2048,0.037944,
group2,4096,12,8,0,2048,2,2,1,0.037414,0.460847
group2,4096,12,8,1,1024,2,2,2,0.037660,
group2,4096,12,8,2,512,2,2,4,0.037476,
group2,4096,12,8,3,256,2,2,8,0.037616,
group2,4096,12,8,4,128,2,2,16,0.037253,
group2,4096,12,8,5,64,2,2,32,0.037238,
group2,4096,12,8,6,32,2,2,64,0.037870,
group2,4096,12,8,7,16,2,2,128,0.038162,
group2,4096,12,8,8,8,2,2,256,0.038271,
group2,4096,12,8,9,4,2,2,512,0.038422,
group2,4096,12,8,10,2,2,2,1024,0.038323,
group2,4096,12,8,11,1,2,2,2048,0.037485,
group2,4096,12,16,0,2048,2,2,1,0.037832,0.468206
group2,4096,12,16,1,1024,2,2,2,0.037726,
group2,4096,12,16,2,512,2,2,4,0.038178,
group2,4096,12,16,3,256,2,2,8,0.037796,
group2,4096,12,16,4,128,2,2,16,0.037943,
group2,4096,12,16,5,64,2,2,32,0.037888,
group2,4096,12,16,6,32,2,2,64,0.037977,
group2,4096,12,16,7,16,2,2,128,0.037890,
group2,4096,12,16,8,8,2,2,256,0.037934,
group2,4096,12,16,9,4,2,2,512,0.037738,
group2,4096,12,16,10,2,2,2,1024,0.037783,
group2,4096,12,16,11,1,2,2,2048,0.038080,
group2,4096,12,32,0,2048,2,2,1,0.038490,0.489189
group2,4096,12,32,1,1024,2,2,2,0.038076,
group2,4096,12,32,2,512,2,2,4,0.037781,
group2,4096,12,32,3,256,2,2,8,0.037910,
group2,4096,12,32,4,128,2,2,16,0.038345,
group2,4096,12,32,5,64,2,2,32,0.037673,
group2,4096,12,32,6,32,2,2,64,0.038321,
group2,4096,12,32,7,16,2,2,128,0.037504,
group2,4096,12,32,8,8,2,2,256,0.038048,
group2,4096,12,32,9,4,2,2,512,0.038208,
group2,4096,12,32,10,2,2,2,1024,0.038107,
group2,4096,12,32,11,1,2,2,2048,0.037941,
group2,4096,12,64,0,2048,2,2,1,0.038027,0.464024
group2,4096,12,64,1,1024,2,2,2,0.038031,
group2,4096,12,64,2,512,2,2,4,0.038303,
group2,4096,12,64,3,256,2,2,8,0.038107,
group2,4096,12,64,4,128,2,2,16,0.037699,
group2,4096,12,64,5,64,2,2,32,0.037849,
group2,4096,12,64,6,32,2,2,64,0.037821,
group2,4096,12,64,7,16,2,2,128,0.037905,
group2,4096,12,64,8,8,2,2,256,0.040308,
group2,4096,12,64,9,4,2,2,512,0.038067,
group2,4096,12,64,10,2,2,2,1024,0.037780,
group2,4096,12,64,11,1,2,2,2048,0.037904,
group2,4096,12,128,0,2048,2,2,1,0.038405,0.465663
group2,4096,12,128,1,1024,2,2,2,0.038186,
group2,4096,12,128,2,512,2,2,4,0.038080,
group2,4096,12,128,3,256,2,2,8,0.038228,
group2,4096,12,128,4,128,2,2,16,0.037211,
group2,4096,12,128,5,64,2,2,32,0.037894,
group2,4096,12,128,6,32,2,2,64,0.037922,
group2,4096,12,128,7,16,2,2,128,0.038298,
group2,4096,12,128,8,8,2,2,256,0.037811,
group2,4096,12,128,9,4,2,2,512,0.038250,
group2,4096,12,128,10,2,2,2,1024,0.038058,
group2,4096,12,128,11,1,2,2,2048,0.038334,
group2,4096,12,256,0,2048,2,2,1,0.049923,0.622623
group2,4096,12,256,1,1024,2,2,2,0.050348,
group2,4096,12,256,2,512,2,2,4,0.050328,
group2,4096,12,256,3,256,2,2,8,0.050358,
group2,4096,12,256,4,128,2,2,16,0.050347,
group2,4096,12,256,5,64,2,2,32,0.050336,
group2,4096,12,256,6,32,2,2,64,0.050307,
group2,4096,12,256,7,16,2,2,128,0.050346,
group2,4096,12,256,8,8,2,2,256,0.050321,
group2,4096,12,256,9,4,2,2,512,0.050357,
group2,4096,12,256,10,2,2,2,1024,0.050332,
group2,4096,12,256,11,1,2,2,2048,0.050317,
group2,4096,12,512,0,2048,2,2,1,0.083979,1.042627
group2,4096,12,512,1,1024,2,2,2,0.085258,
group2,4096,12,512,2,512,2,2,4,0.085451,
group2,4096,12,512,3,256,2,2,8,0.084923,
group2,4096,12,512,4,128,2,2,16,0.085237,
group2,4096,12,512,5,64,2,2,32,0.084901,
group2,4096,12,512,6,32,2,2,64,0.085266,
group2,4096,12,512,7,16,2,2,128,0.084895,
group2,4096,12,512,8,8,2,2,256,0.085289,
group2,4096,12,512,9,4,2,2,512,0.084903,
group2,4096,12,512,10,2,2,2,1024,0.085304,
group2,4096,12,512,11,1,2,2,2048,0.084899,
group2,4096,12,1024,0,2048,2,2,1,0.158883,1.940072
group2,4096,12,1024,1,1024,2,2,2,0.159200,
group2,4096,12,1024,2,512,2,2,4,0.159006,
group2,4096,12,1024,3,256,2,2,8,0.160464,
group2,4096,12,1024,4,128,2,2,16,0.158791,
group2,4096,12,1024,5,64,2,2,32,0.158779,
group2,4096,12,1024,6,32,2,2,64,0.158798,
group2,4096,12,1024,7,16,2,2,128,0.158794,
group2,4096,12,1024,8,8,2,2,256,0.158784,
group2,4096,12,1024,9,4,2,2,512,0.158837,
group2,4096,12,1024,10,2,2,2,1024,0.158800,
group2,4096,12,1024,11,1,2,2,2048,0.158891,
group2,4096,12,2048,0,2048,2,2,1,0.306904,3.813227
group2,4096,12,2048,1,1024,2,2,2,0.310596,
group2,4096,12,2048,2,512,2,2,4,0.310694,
group2,4096,12,2048,3,256,2,2,8,0.312048,
group2,4096,12,2048,4,128,2,2,16,0.313218,
